First Name,Middle Name,Last Name,Title,Suffix,Nickname,Given Yomi,Surname Yomi,E-mail Address,E-mail 2 Address,E-mail 3 Address,Home Phone,Home Phone 2,Business Phone,Business Phone 2,Mobile Phone,Car Phone,Other Phone,Primary Phone,Pager,Business Fax,Home Fax,Other Fax,Company Main Phone,Callback,Radio Phone,Telex,TTY/TDD Phone,IMAddress,Job Title,Department,Company,Office Location,Manager's Name,Assistant's Name,Assistant's Phone,Company Yomi,Business Street,Business City,Business State,Business Postal Code,Business Country/Region,Home Street,Home City,Home State,Home Postal Code,Home Country/Region,Other Street,Other City,Other State,Other Postal Code,Other Country/Region,Personal Web Page,Spouse,Schools,Hobby,Location,Web Page,Birthday,Anniversary,Notes
,,,,,,,,Mike.Tipping@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Mike Tipping
Phone : (207) 287-1515"
,,,,,,,,Jeffrey.Timberlake@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Jeffrey L. Timberlake
Phone : (207) 287-1505"
,,,,,,,,Denise.Tepler@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Denise Tepler
Phone : (207) 287-1515"
,,,,,,,,Rachel.TalbotRoss@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Rachel Talbot Ross
Phone : (207) 287-1515"
,,,,,,,,Trey.Stewart@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Trey L. Stewart
Phone : (207) 287-1505"
,,,,,,,,Peggy.Rotundo@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Peggy R. Rotundo
Phone : (207) 287-1515"
,,,,,,,,Cameron.Reny@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Cameron D. Reny
Phone : (207) 287-1515"
,,,,,,,,Joe.Rafferty@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Joseph Rafferty
Phone : (207) 287-1515"
,,,,,,,,Teresa.Pierce@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Teresa S. Pierce
Phone : (207) 287-1515"
,,,,,,,,Tim.Nangle@legislature.maine.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-----------------------------
Contact Imported:
Name : Timothy E. Nangle
Phone : (207) 287-1515"
